,0
0,Middle Africa
1,Southern Africa
2,Eastern Asia
3,Qatar
4,Zanzibar
5,Micronesia
6,Zimbabwe
7,Equatorial Guinea
8,Solomon Islands
9,Benin
10,Madagascar
11,Timor-Leste
12,Oceania
13,Dominica
14,Nicaragua
15,Dem. People's Rep. Korea
16,Niger
17,Maldives
18,Jordan
19,Chad
20,Serbia
21,Ukraine
22,Western Europe
23,Namibia
24,Cambodia
25,Anguilla
26,Sao Tome and Principe
27,Ghana
28,Melanesia
29,Montserrat
30,Australia
31,Philippines
32,Brazil
33,Sri Lanka
34,Azerbaijan
35,Belize
36,Algeria
37,Haiti
38,Eritrea
39,Honduras
40,Bhutan
41,Greece
42,China
43,Mongolia
44,Malawi
45,Kosovo
46,Comoros
47,Nepal
48,Ecuador
49,Gambia
50,Tuvalu
51,Guinea
52,Paraguay
53,Russian Federation
54,Liechtenstein
55,Micronesia (Fed. States of)
56,Thailand
57,Saint Kitts and Nevis
58,Peru
59,Japan
60,Mexico
61,Canada
62,Palau
63,"Total, all countries or areas"
64,Andorra
65,Montenegro
66,Guyana
67,Europe
68,Suriname
69,Portugal
70,United States of America
71,Northern Africa
72,Burundi
73,New Zealand
74,Bahrain
75,Northern America
76,Guatemala
77,El Salvador
78,Central America
79,Kuwait
80,Malaysia
81,Mali
82,Eastern Africa
83,Africa
84,Finland
85,Italy
86,Latvia
87,State of Palestine
88,Syrian Arab Republic
89,Costa Rica
90,Rwanda
91,Slovakia
92,Puerto Rico
93,Nauru
94,Australia and New Zealand
95,Togo
96,Vanuatu
97,New Caledonia
98,Uganda
99,Central African Republic
100,Curaçao
101,Burkina Faso
102,Kazakhstan
103,Americas
104,Oman
105,Germany
106,Trinidad and Tobago
107,South Sudan
108,Estonia
109,Gabon
110,Zambia
111,Jamaica
112,Spain
113,French Polynesia
114,Malta
115,Poland
116,South-eastern Asia
117,Bahamas
118,Somalia
119,Georgia
120,Bulgaria
121,Iran (Islamic Republic of)
122,Colombia
123,Brunei Darussalam
124,Kyrgyzstan
125,Mozambique
126,Yemen
127,Eastern Europe
128,Tajikistan
129,British Virgin Islands
130,Saudi Arabia
131,Afghanistan
132,Belarus
133,Cyprus
134,India
135,Hungary
136,Lebanon
137,Seychelles
138,Marshall Islands
139,Uruguay
140,Sub-Saharan Africa
141,Albania
142,Republic of Moldova
143,Denmark
144,Argentina
145,Ethiopia
146,Nigeria
147,Cameroon
148,Dominican Republic
149,Morocco
150,Bermuda
151,Switzerland
152,Turks and Caicos Islands
153,United Kingdom
154,Turkey
155,Lesotho
156,Sweden
157,Congo
158,Cayman Islands
159,Myanmar
160,Greenland
161,Antigua and Barbuda
162,Sudan [former]
163,South America
164,Romania
165,Armenia
166,Bangladesh
167,Croatia
168,Fiji
169,Senegal
170,Cabo Verde
171,Singapore
172,Djibouti
173,Turkmenistan
174,South Africa
175,North Macedonia
176,Botswana
177,Sierra Leone
178,Sint Maarten (Dutch part)
179,Eswatini
180,Mauritius
181,Bosnia and Herzegovina
182,San Marino
183,Republic of Korea
184,Cuba
185,Libya
186,Kiribati
187,Asia
188,Bolivia (Plurin. State of)
189,"China, Hong Kong SAR"
190,Angola
191,Pakistan
192,Grenada
193,Southern Asia
194,Côte dIvoire
195,Guinea-Bissau
196,Czechia
197,Dem. Rep. of the Congo
198,Iceland
199,Saint Lucia
200,Lithuania
201,Southern Europe
202,Luxembourg
203,Northern Europe
204,Lao People's Dem. Rep.
205,Sudan
206,Mauritania
207,Iraq
208,"China, Macao SAR"
209,Samoa
210,United Arab Emirates
211,Viet Nam
212,Indonesia
213,Norway
214,Venezuela (Boliv. Rep. of)
215,Central Asia
216,Aruba
217,Cook Islands
218,Papua New Guinea
219,Netherlands Antilles [former]
220,Belgium
221,Chile
222,Kenya
223,Caribbean
224,Liberia
225,United Rep. of Tanzania
226,Netherlands
227,Barbados
228,Tunisia
229,Uzbekistan
230,Austria
231,Monaco
232,France
233,Israel
234,Western Asia
235,Polynesia
236,Ireland
237,Tonga
238,Egypt
239,Saint Vincent & Grenadines
240,Latin America & the Caribbean
241,Panama
242,Western Africa
243,Slovenia
